0.01,0.05,0.2,0.5,0.8,1,1.2,1.5,2,3
  5.9423,  6.0202,  6.4971,  5.5449,  5.1893,  5.6709,  5.8721,  4.7193,  4.5830,  4.9433
  6.3965,  6.4149,  6.7887,  6.4009,  6.4766,  6.6373,  6.8956,  6.3250,  6.0105,  5.9221
  6.6775,  6.6584,  6.9393,  6.8984,  7.2056,  7.1368,  7.3807,  7.2405,  6.8851,  6.4718
  6.7680,  6.7360,  6.9505,  7.0184,  7.3557,  7.1741,  7.3511,  7.4377,  7.1562,  6.5788
  6.7278,  6.7032,  6.8803,  6.8810,  7.0998,  6.9067,  7.0029,  7.1278,  6.9728,  6.3621
  6.7141,  6.7071,  6.8649,  6.7766,  6.8315,  6.6736,  6.7481,  6.7939,  6.6973,  6.0771
  6.7356,  6.7518,  6.9067,  6.7333,  6.6135,  6.5211,  6.6302,  6.5151,  6.4052,  5.7879
  6.7838,  6.8254,  6.9909,  6.7453,  6.4618,  6.4524,  6.6390,  6.3136,  6.1324,  5.5282
  6.8483,  6.9144,  7.1010,  6.8015,  6.3801,  6.4599,  6.7517,  6.1962,  5.9031,  5.3189
  6.7859,  6.8677,  7.0729,  6.7686,  6.2735,  6.4169,  6.8166,  6.0862,  5.7028,  5.1397
  6.5304,  6.6158,  6.8298,  6.5820,  6.0939,  6.2583,  6.7518,  5.9418,  5.5247,  4.9795
  6.1280,  6.2059,  6.4198,  6.2771,  5.8645,  6.0122,  6.5806,  5.7786,  5.3787,  4.8476
  5.6251,  5.6866,  5.8925,  5.8899,  5.6074,  5.7067,  6.3285,  5.6098,  5.2700,  4.7487
  5.0652,  5.1036,  5.2951,  5.4547,  5.3416,  5.3679,  6.0214,  5.4464,  5.2006,  4.6848
  4.4864,  4.4969,  4.6694,  5.0015,  5.0831,  5.0187,  5.6830,  5.2968,  5.1692,  4.6547
  3.9161,  3.9001,  4.0519,  4.5321,  4.7923,  4.6451,  5.3015,  5.1038,  5.1027,  4.6045
  3.3768,  3.3396,  3.4717,  4.0514,  4.4445,  4.2402,  4.8730,  4.8303,  4.9510,  4.4965
  2.8885,  2.8358,  2.9498,  3.5816,  4.0613,  3.8253,  4.4214,  4.4970,  4.7300,  4.3419
  2.4655,  2.4031,  2.5013,  3.1406,  3.6618,  3.4182,  3.9674,  4.1238,  4.4562,  4.1519
  2.1170,  2.0506,  2.1355,  2.7420,  3.2627,  3.0334,  3.5283,  3.7287,  4.1452,  3.9373
  1.8479,  1.7825,  1.8569,  2.3955,  2.8781,  2.6821,  3.1181,  3.3279,  3.8116,  3.7079
  1.6594,  1.5995,  1.6663,  2.1075,  2.5192,  2.3728,  2.7474,  2.9351,  3.4686,  3.4729
  1.5496,  1.4994,  1.5614,  1.8815,  2.1945,  2.1109,  2.4240,  2.5616,  3.1276,  3.2400
  1.4824,  1.4436,  1.5032,  1.6982,  1.9037,  1.8857,  2.1427,  2.2194,  2.7999,  3.0117
  1.4169,  1.3885,  1.4476,  1.5344,  1.6436,  1.6831,  1.8950,  1.9188,  2.4949,  2.7890
  1.3544,  1.3356,  1.3959,  1.3927,  1.4180,  1.5063,  1.6844,  1.6639,  2.2187,  2.5773
  1.2963,  1.2858,  1.3489,  1.2747,  1.2297,  1.3574,  1.5129,  1.4571,  1.9754,  2.3806
  1.2435,  1.2401,  1.3073,  1.1811,  1.0800,  1.2376,  1.3813,  1.2993,  1.7680,  2.2023
  1.1967,  1.1992,  1.2716,  1.1121,  0.9690,  1.1471,  1.2892,  1.1899,  1.5982,  2.0448
  1.1564,  1.1634,  1.2421,  1.0672,  0.8960,  1.0857,  1.2356,  1.1276,  1.4666,  1.9098
  1.1230,  1.1332,  1.2190,  1.0454,  0.8596,  1.0523,  1.2186,  1.1100,  1.3729,  1.7982
  1.0966,  1.1086,  1.2020,  1.0455,  0.8579,  1.0455,  1.2358,  1.1342,  1.3160,  1.7103
  1.0770,  1.0897,  1.1912,  1.0659,  0.8884,  1.0635,  1.2846,  1.1968,  1.2944,  1.6460
  1.0642,  1.0764,  1.1862,  1.1048,  0.9482,  1.1041,  1.3616,  1.2938,  1.3057,  1.6047
  1.0494,  1.0609,  1.1795,  1.1439,  1.0115,  1.1463,  1.4393,  1.3927,  1.3256,  1.5720
  1.0276,  1.0383,  1.1665,  1.1721,  1.0625,  1.1771,  1.5007,  1.4732,  1.3389,  1.5391
  0.9994,  1.0096,  1.1479,  1.1896,  1.1011,  1.1967,  1.5457,  1.5353,  1.3459,  1.5064
  0.9657,  0.9756,  1.1242,  1.1969,  1.1276,  1.2055,  1.5749,  1.5793,  1.3468,  1.4745
  0.9274,  0.9370,  1.0961,  1.1946,  1.1424,  1.2042,  1.5888,  1.6056,  1.3421,  1.4437
  0.8851,  0.8945,  1.0643,  1.1831,  1.1460,  1.1932,  1.5882,  1.6152,  1.3320,  1.4144
  0.8396,  0.8491,  1.0293,  1.1633,  1.1391,  1.1735,  1.5740,  1.6087,  1.3172,  1.3867
  0.7917,  0.8013,  0.9918,  1.1359,  1.1223,  1.1456,  1.5470,  1.5873,  1.2979,  1.3610
  0.7421,  0.7519,  0.9522,  1.1016,  1.0964,  1.1105,  1.5085,  1.5521,  1.2747,  1.3374
  0.6913,  0.7015,  0.9113,  1.0611,  1.0623,  1.0688,  1.4594,  1.5042,  1.2481,  1.3161
  0.6401,  0.6507,  0.8695,  1.0153,  1.0206,  1.0214,  1.4008,  1.4449,  1.2186,  1.2971
  0.5889,  0.6000,  0.8272,  0.9649,  0.9723,  0.9692,  1.3339,  1.3753,  1.1865,  1.2806
  0.5383,  0.5499,  0.7849,  0.9107,  0.9182,  0.9128,  1.2598,  1.2967,  1.1524,  1.2666
  0.4886,  0.5009,  0.7430,  0.8533,  0.8591,  0.8530,  1.1795,  1.2104,  1.1167,  1.2550
  0.4405,  0.4535,  0.7019,  0.7941,  0.7969,  0.7913,  1.0954,  1.1189,  1.0795,  1.2446
  0.3949,  0.4087,  0.6619,  0.7365,  0.7364,  0.7313,  1.0131,  1.0292,  1.0403,  1.2307
  0.3521,  0.3669,  0.6232,  0.6810,  0.6785,  0.6738,  0.9337,  0.9424,  0.9993,  1.2132
  0.3122,  0.3281,  0.5861,  0.6282,  0.6236,  0.6191,  0.8577,  0.8593,  0.9570,  1.1922
  0.2756,  0.2926,  0.5509,  0.5782,  0.5719,  0.5675,  0.7857,  0.7802,  0.9138,  1.1681
  0.2423,  0.2606,  0.5176,  0.5313,  0.5237,  0.5193,  0.7179,  0.7056,  0.8701,  1.1414
  0.2124,  0.2320,  0.4866,  0.4877,  0.4792,  0.4746,  0.6546,  0.6358,  0.8262,  1.1122
  0.1860,  0.2069,  0.4578,  0.4477,  0.4385,  0.4337,  0.5962,  0.5712,  0.7825,  1.0810
  0.1631,  0.1854,  0.4314,  0.4112,  0.4019,  0.3967,  0.5428,  0.5119,  0.7392,  1.0479
  0.1437,  0.1675,  0.4075,  0.3785,  0.3692,  0.3635,  0.4946,  0.4581,  0.6967,  1.0135
  0.1277,  0.1530,  0.3861,  0.3495,  0.3406,  0.3344,  0.4516,  0.4100,  0.6551,  0.9779
  0.1152,  0.1420,  0.3673,  0.3243,  0.3161,  0.3092,  0.4140,  0.3676,  0.6147,  0.9414
