0,1,2,3,4,5,6,7,8,9
  0.5765,  0.2064,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.5392,  0.3078,  0.0230,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.4480,  0.3781,  0.0792,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.3329,  0.4102,  0.1500,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.2186,  0.4066,  0.2205,  0.0045,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.1217,  0.3748,  0.2802,  0.0282,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0514,  0.3240,  0.3235,  0.0660,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0112,  0.2633,  0.3483,  0.1112,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.2004,  0.3551,  0.1579,  0.0001,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.1414,  0.3461,  0.2019,  0.0068,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0903,  0.3244,  0.2398,  0.0230,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0499,  0.2934,  0.2699,  0.0461,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0214,  0.2564,  0.2911,  0.0738,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0050,  0.2163,  0.3033,  0.1038,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.1759,  0.3070,  0.1340,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.1371,  0.3030,  0.1629,  0.0030,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.1017,  0.2923,  0.1894,  0.0110,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0708,  0.2762,  0.2125,  0.0230,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0452,  0.2559,  0.2316,  0.0382,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0253,  0.2325,  0.2465,  0.0557,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0112,  0.2072,  0.2570,  0.0746,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0029,  0.1811,  0.2633,  0.0941,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.1550,  0.2654,  0.1136,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.1296,  0.2638,  0.1326,  0.0012,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.1056,  0.2588,  0.1505,  0.0050,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0835,  0.2508,  0.1671,  0.0109,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0636,  0.2403,  0.1819,  0.0188,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0463,  0.2277,  0.1949,  0.0282,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0316,  0.2134,  0.2058,  0.0389,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0198,  0.1979,  0.2147,  0.0505,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0108,  0.1815,  0.2214,  0.0627,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0045,  0.1647,  0.2261,  0.0753,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0010,  0.1477,  0.2287,  0.0879,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.1309,  0.2294,  0.1005,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.1145,  0.2284,  0.1128,  0.0008,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0988,  0.2256,  0.1245,  0.0029,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0838,  0.2214,  0.1357,  0.0060,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0699,  0.2158,  0.1461,  0.0102,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0570,  0.2090,  0.1557,  0.0153,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0454,  0.2011,  0.1644,  0.0212,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0351,  0.1924,  0.1722,  0.0277,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0260,  0.1830,  0.1789,  0.0347,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0184,  0.1730,  0.1846,  0.0422,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0121,  0.1625,  0.1893,  0.0500,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0071,  0.1518,  0.1930,  0.0581,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0035,  0.1409,  0.1958,  0.0662,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0012,  0.1299,  0.1975,  0.0744,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0001,  0.1190,  0.1983,  0.0826,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.1082,  0.1982,  0.0906,  0.0001,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0977,  0.1973,  0.0985,  0.0008,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0875,  0.1955,  0.1061,  0.0021,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0777,  0.1931,  0.1134,  0.0040,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0683,  0.1899,  0.1204,  0.0063,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0595,  0.1861,  0.1270,  0.0092,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0511,  0.1817,  0.1333,  0.0124,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0434,  0.1768,  0.1391,  0.0161,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0362,  0.1715,  0.1444,  0.0201,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0297,  0.1658,  0.1493,  0.0244,  0.0000
