channel,kA,kca3,kfasttab,kslowtab,lcafixed,kA,kca3,kfasttab,kslowtab,lcafixed,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast
scale,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
lambda,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000
9,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000
10,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000
11,   0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000
12,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000
13,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000
14,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000
15,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000
16,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000
17,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000
