channel,kA,kca3,kfasttab,kslowtab,lcafixed,kA,kca3,kfasttab,kslowtab,lcafixed,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast
scale,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
lambda,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
292,   0.089,  10.460,  -0.000,   0.318,   8.163,   1.891,  30.408,  -0.000,   0.133,   5.858,  68.242,  53.994, 157.369,   0.384,   0.452,  64.318,  -0.000,  69.644,  71.326,   6.912,   0.655,   1.949,   0.000,   0.000,   5.692,  21.580,   5.229,   1.802,  21.635,  21.635,  21.635,  21.635,  21.635,  21.635,   2.435,   0.089,   0.089,  18.241,   0.000,   8.088,   0.740,  17.440,   0.223,  22.475,   2.226,   0.022,  11.226,   2.201,  15.888,  17.921,   0.022,  21.056,  91.302,  29.429, 107.809,   0.568,  45.224,   0.000
293,   0.067,  10.113,  -0.000,   0.655,   3.978,   1.246,  19.856,  -0.000,   0.273,   2.596,  65.194,  72.627, 180.299,   0.133,   0.089,  57.386,   0.045,  92.699,  68.072,   5.950,   1.223,   1.503,   0.000,   0.000,   5.274,  18.753,   4.446,   2.017,  21.960,  21.960,  21.960,  21.960,  21.960,  21.960,   2.469,   0.022,   0.022,  18.579,   0.000,   6.618,   0.156,   8.233,   0.022,  23.172,   1.831,  -0.000,  12.333,   0.834,   7.619,  17.282,   0.000,  31.439,  78.424,  18.528,  97.260,   1.310,  41.722,   0.000
294,   0.312,  13.240,  -0.000,   1.223,   1.948,   0.700,  13.469,  -0.000,   0.655,   1.084,  56.433,  90.170, 169.495,   0.111,   0.022,  48.999,   0.356, 111.672,  72.508,   5.094,   1.780,   3.307,  -0.000,   0.000,   5.611,  15.393,   3.956,   1.780,  22.484,  22.484,  22.484,  22.484,  22.484,  22.484,   2.546,   0.000,   0.000,  20.440,   0.000,   5.338,   0.022,   3.584,   0.000,  25.320,   3.250,  -0.000,  13.682,   0.273,   3.519,  16.382,   0.000,  44.605,  62.477,  12.646,  81.514,   2.447,  47.596,  -0.000
295,   1.346,  19.116,  -0.000,   1.780,   0.832,   0.607,  10.000,  -0.000,   1.223,   0.384,  43.685, 105.549, 131.731,   0.273,   0.000,  41.676,   1.479, 122.817,  80.437,   4.051,   2.017,   8.611,   0.000,   0.000,   7.143,  12.504,   4.088,   1.223,  23.008,  23.008,  23.008,  23.008,  23.008,  23.008,   2.696,   0.000,   0.045,  23.049,   0.000,   4.197,   0.000,   1.424,   0.000,  27.875,   6.647,  -0.000,  15.718,   0.089,   1.555,  16.158,   0.000,  59.152,  46.476,   8.979,  64.838,   3.582,  58.107,   0.000
296,   4.369,  26.413,   0.000,   2.017,   0.318,   1.434,   8.592,   0.000,   1.780,   0.111,  30.752, 117.369,  89.100,   0.655,   0.000,  37.165,   4.850, 123.224,  87.769,   2.981,   1.780,  18.798,   0.000,   0.000,  10.784,  10.477,   5.098,   0.655,  23.476,  23.476,  23.476,  23.476,  23.476,  23.476,   2.974,   0.000,   0.177,  25.616,   0.000,   3.508,   0.000,   0.473,   0.000,  30.399,  11.699,  -0.000,  18.601,   0.022,   0.568,  17.370,   0.000,  72.598,  33.122,   6.022,  49.991,   4.167,  64.599,   0.000
297,  11.383,  33.665,   0.000,   1.780,   0.089,   4.355,   8.525,   0.000,   2.017,   0.022,  20.691, 121.415,  64.435,   1.223,   0.000,  35.953,  12.567, 112.011,  91.630,   2.262,   1.223,  34.237,   0.000,   0.000,  17.771,   9.245,   7.552,   0.273,  23.395,  23.395,  23.395,  23.395,  23.395,  23.395,   3.692,   0.000,   0.568,  27.786,   0.000,   3.385,  -0.000,   0.133,  -0.000,  33.358,  17.454,   0.000,  22.411,   0.000,   0.177,  20.592,   0.000,  83.013,  23.849,   3.530,  37.529,   4.032,  61.104,   0.000
298,  24.881,  39.480,  -0.000,   1.223,   0.022,  11.078,   9.123,  -0.000,   1.780,   0.000,  14.013, 112.892,  70.047,   1.780,   0.000,  36.820,  27.160,  91.489,  90.562,   2.078,   0.655,  52.346,  -0.000,   0.022,  29.118,   8.537,  11.973,   0.089,  22.207,  22.207,  22.207,  22.207,  22.207,  22.207,   5.101,   0.045,   1.443,  29.712,   0.000,   3.602,   0.000,   0.022,   0.000,  37.181,  22.436,   0.000,  27.170,  -0.000,   0.045,  26.189,   0.000,  89.806,  18.778,   1.694,  27.514,   3.758,  48.242,   0.000
299,  46.021,  43.012,  -0.000,   0.655,  -0.000,  23.831,   9.975,  -0.000,   1.223,   0.000,   9.763,  91.823, 103.379,   2.017,  -0.000,  37.676,  49.671,  66.643,  85.006,   2.348,   0.273,  67.871,  -0.000,   0.133,  44.564,   8.030,  18.512,   0.022,  19.732,  19.732,  19.732,  19.732,  19.732,  19.732,   7.011,   0.177,   2.919,  31.415,   0.000,   3.693,  -0.000,   0.000,  -0.000,  41.213,  25.647,   0.000,  32.531,   0.000,  -0.000,  33.533,   0.000,  92.664,  16.371,   0.657,  20.285,   4.227,  31.684,   0.000
300,  73.326,  43.971,  -0.000,   0.273,   0.000,  43.628,  11.210,  -0.000,   0.655,   0.000,   6.961,  64.727, 147.576,   1.780,   0.000,  36.581,  77.889,  42.976,  76.585,   2.760,   0.089,  75.283,  -0.000,   0.652,  62.371,   7.600,  26.717,   0.000,  16.512,  16.512,  16.512,  16.512,  16.512,  16.512,   8.868,   0.613,   4.894,  32.024,   0.000,   3.351,  -0.000,  -0.000,   0.000,  43.738,  26.800,  -0.000,  37.636,  -0.000,   0.000,  41.187,   0.000,  90.740,  14.883,   0.200,  16.077,   5.856,  17.294,   0.000
301, 102.120,  43.519,  -0.000,   0.089,   0.000,  69.264,  12.971,  -0.000,   0.273,   0.000,   5.839,  39.917, 177.925,   1.223,   0.000,  32.969, 106.257,  24.513,  66.730,   3.026,   0.045,  72.453,   0.045,   2.267,  79.779,   7.184,  36.372,   0.067,  13.344,  13.344,  13.344,  13.344,  13.344,  13.344,  10.495,   1.598,   7.062,  30.485,   0.000,   2.708,  -0.000,   0.000,  -0.000,  43.697,  26.337,   0.000,  41.747,  -0.000,   0.000,  47.654,   0.000,  83.663,  13.034,   0.045,  14.024,   8.216,   7.837,   0.000
302, 125.730,  43.966,   0.000,   0.090,   0.000,  96.859,  15.183,   0.000,   0.133,   0.000,   7.136,  22.067, 176.101,   0.655,   0.000,  27.881, 127.678,  12.424,  56.092,   3.003,   0.178,  62.240,   0.312,   6.546,  93.570,   6.848,  47.967,   0.378,  10.860,  10.860,  10.860,  10.860,  10.860,  10.860,  12.476,   3.399,   9.299,  26.720,   0.000,   2.151,  -0.000,   0.000,   0.000,  41.682,  25.197,   0.067,  44.862,  -0.000,   0.000,  53.068,  -0.000,  72.823,  10.622,   0.000,  12.813,  10.782,   2.902,   0.000
303, 137.475,  47.007,   0.000,   0.311,   0.000, 120.482,  18.132,   0.000,   0.267,   0.000,  11.244,  11.129, 143.406,   0.363,   0.000,  22.876, 136.580,   5.685,  45.004,   2.717,   0.762,  50.822,   1.436,  15.972, 100.650,   6.507,  62.029,   1.710,   9.360,   9.360,   9.360,   9.360,   9.360,   9.360,  16.292,   6.109,  11.970,  21.687,   0.067,   1.967,  -0.000,  -0.000,   0.000,  39.269,  24.508,   0.355,  47.693,   0.022,   0.000,  58.617,  -0.000,  60.717,   8.116,   0.000,  11.336,  13.713,   0.851,   0.000
304, 133.250,  52.194,  -0.000,   1.444,  -0.000, 133.680,  22.860,  -0.000,   1.215,  -0.000,  17.283,   5.077,  99.411,   0.712,  -0.000,  19.459, 130.825,   2.407,  34.354,   2.275,   2.659,  43.921,   4.925,  33.289,  99.075,   6.038,  77.213,   5.639,   8.770,   8.770,   8.770,   8.770,   8.770,   8.770,  23.797,   9.750,  16.052,  16.893,   0.423,   2.075,  -0.000,   0.000,  -0.000,  36.890,  24.858,   1.487,  51.355,   0.089,   0.000,  64.677,  -0.000,  49.023,   6.028,   0.000,   9.247,  18.756,   0.178,   0.000
305, 113.977,  57.996,   0.000,   4.843,  -0.000, 131.900,  31.031,   0.000,   4.284,   0.000,  23.614,   2.028,  68.741,   2.648,  -0.000,  18.625, 112.168,   0.967,  25.409,   2.438,   7.547,  43.757,  13.608,  60.136,  89.286,   5.412,  90.197,  15.135,   8.665,   8.665,   8.665,   8.665,   8.665,   8.665,  37.052,  14.804,  23.485,  13.392,   1.999,   2.195,  -0.000,   0.000,   0.000,  33.692,  25.758,   4.767,  56.610,   0.295,  -0.000,  69.598,  -0.000,  37.874,   4.710,   0.000,   6.780,  28.627,   0.112,   0.000
306,  85.994,  63.521,  -0.000,  13.349,  -0.000, 115.064,  44.139,  -0.000,  12.212,  -0.000,  28.961,   0.724,  67.173,   8.562,   0.090,  20.685,  85.685,   0.473,  18.731,   4.598,  18.040,  49.286,  31.174,  94.575,  74.208,   5.310,  97.854,  33.855,   8.773,   8.773,   8.773,   8.773,   8.773,   8.773,  57.226,  23.029,  37.043,  11.575,   6.808,   2.493,   0.045,   0.000,   0.067,  29.178,  25.653,  12.801,  63.044,   0.766,   0.000,  70.999,  -0.000,  27.273,   4.283,   0.000,   4.337,  46.076,   0.601,   0.022
307,  57.771,  69.450,  -0.000,  30.790,   0.045,  88.449,  62.250,  -0.000,  28.880,   0.045,  33.388,   0.311,  95.568,  22.077,   0.847,  25.663,  58.089,   0.657,  14.002,  11.520,  37.095,  57.301,  60.212, 129.300,  57.735,   7.264,  99.131,  63.965,   9.510,   9.510,   9.510,   9.510,   9.510,   9.510,  82.794,  37.445,  58.766,  11.356,  18.451,   4.227,   0.401,   0.000,   0.624,  24.375,  23.108,  28.680,  68.969,   1.697,   0.000,  67.761,  -0.000,  17.795,   4.392,   0.000,   2.351,  71.375,   2.627,   0.089
308,  35.209,  75.336,  -0.000,  60.261,   0.267,  60.171,  83.502,  -0.000,  57.504,   0.469,  37.600,   0.518, 139.327,  47.062,   3.624,  33.767,  34.996,   1.421,  10.705,  26.763,  66.276,  63.964,  98.826, 152.865,  42.661,  14.273,  94.466, 102.629,  12.803,  12.803,  12.803,  12.803,  12.803,  12.803, 108.360,  60.986,  87.168,  13.184,  41.291,  10.434,   2.037,   0.045,   2.887,  20.862,  18.151,  55.300,  72.160,   3.285,   0.045,  60.971,  -0.000,  10.457,   4.352,   0.000,   1.061, 100.488,   8.241,   0.273
309,  19.906,  78.058,  -0.000, 100.060,   1.416,  36.768, 103.814,  -0.000,  96.717,   2.281,  42.032,   1.550, 174.047,  84.002,  11.713,  45.652,  18.784,   2.787,   8.664,  53.385, 102.945,  66.280, 137.793, 155.192,  30.595,  29.905,  84.295, 139.768,  21.738,  21.738,  21.738,  21.738,  21.738,  21.738, 126.102,  92.914, 115.881,  18.547,  77.241,  25.322,   7.283,   0.177,   9.708,  19.821,  12.218,  91.964,  71.253,   5.971,   0.200,  52.389,   0.000,   5.742,   3.648,   0.000,   0.384, 125.192,  20.627,   0.655
310,  10.719,  73.842,  -0.000, 140.173,   5.157,  20.770, 117.461,  -0.000, 137.055,   7.924,  46.471,   4.198, 178.877, 125.819,  29.722,  61.494,   9.059,   4.615,   7.848,  90.231, 138.116,  62.939, 162.772, 134.442,  22.658,  56.503,  69.174, 161.300,  39.268,  39.268,  39.268,  39.268,  39.268,  39.268, 129.482, 125.964, 135.490,  29.646, 120.818,  52.772,  20.135,   0.860,  25.522,  22.093,   6.980, 130.972,  66.339,  10.650,   1.038,  43.479,  -0.000,   3.383,   2.469,   0.000,   0.111, 136.609,  42.303,   1.223
311,   5.780,  62.064,  -0.000, 164.888,  14.673,  11.618, 119.124,  -0.000, 163.219,  21.450,  51.237,   9.727, 151.213, 157.959,  61.542,  79.022,   3.860,   7.033,   7.898, 128.498, 158.730,  54.789, 162.177,  98.934,  19.000,  90.930,  51.342, 157.315,  65.041,  65.041,  65.041,  65.041,  65.041,  65.041, 116.985, 147.889, 138.432,  47.324, 157.727,  91.699,  45.508,   2.998,  54.859,  28.325,   3.392, 158.381,  58.261,  18.515,   3.715,  35.359,  -0.000,   2.527,   1.310,  -0.000,   0.067, 130.013,  71.449,   1.802
312,   3.565,  46.482,  -0.000, 162.195,  34.422,   7.164, 106.926,  -0.000, 162.897,  47.365,  57.320,  19.531, 107.924, 165.802, 104.858,  93.874,   1.417,  10.783,   8.282, 153.613, 154.993,  43.688, 135.581,  61.671,  18.378, 122.562,  34.376, 129.221,  92.796,  92.796,  92.796,  92.796,  92.796,  92.796,  92.860, 148.375, 123.129,  68.590, 171.504, 132.199,  84.947,   8.645,  97.120,  38.069,   1.372, 161.441,  48.002,  30.331,  10.724,  28.970,  -0.000,   2.217,   0.613,  -0.000,   0.177, 107.604,  99.521,   2.128
313,   2.601,  32.863,  -0.000, 132.926,  67.202,   5.434,  84.489,  -0.000, 135.835,  86.282,  65.507,  34.614,  73.806, 145.243, 147.681, 102.001,   0.451,  18.250,   8.717, 153.793, 127.618,  31.783,  94.643,  32.461,  18.545, 137.679,  21.442,  89.096, 111.874, 111.874, 111.874, 111.874, 111.874, 111.874,  64.737, 126.389,  94.853,  86.748, 155.032, 157.911, 130.968,  21.094, 141.945,  48.791,   0.451, 138.288,  36.685,  45.822,  25.806,  24.602,   0.000,   1.847,   0.510,  -0.000,   0.591,  77.176, 115.028,   2.142
314,   1.958,  25.137,  -0.000,  90.493, 109.158,   4.797,  59.351,  -0.000,  94.366, 130.074,  74.768,  54.334,  66.997, 106.310, 172.332, 102.286,   0.111,  32.031,   9.153, 128.975,  87.968,  21.568,  54.962,  14.372,  17.584, 128.987,  13.512,  51.538, 113.848, 113.848, 113.848, 113.848, 113.848, 113.848,  39.720,  91.289,  62.932,  94.684, 116.310, 156.157, 166.598,  43.844, 171.362,  56.628,   0.111,  99.804,  25.658,  63.601,  52.309,  21.878,  -0.000,   1.379,   1.152,  -0.000,   1.666,  47.915, 112.273,   2.241
315,   1.357,  23.860,   0.000,  51.109, 147.371,   4.304,  38.593,   0.000,  54.504, 162.594,  82.390,  76.568,  91.329,  65.411, 166.649,  96.095,   0.022,  52.831,   9.199,  91.152,  50.403,  15.797,  26.503,   5.266,  15.158, 101.926,   9.731,  25.303,  98.864,  98.864,  98.864,  98.864,  98.864,  98.864,  21.811,  56.106,  35.923,  89.435,  72.301, 128.104, 174.608,  77.657, 170.794,  58.992,   0.022,  61.157,  16.323,  81.485,  89.283,  20.048,   0.000,   1.306,   2.894,   0.045,   3.903,  25.901,  97.912,   3.067
316,   1.084,  27.425,  -0.000,  24.039, 165.607,   3.624,  25.139,  -0.000,  26.188, 168.801,  85.417,  98.435, 134.269,  34.213, 133.331,  85.371,   0.022,  77.988,   8.317,  55.372,  23.840,  16.229,  10.576,   1.525,  12.275,  70.378,   8.398,  11.054,  75.371,  75.371,  75.371,  75.371,  75.371,  75.371,  11.372,  29.700,  17.906,  74.218,  37.165,  88.126, 150.629, 116.801, 140.393,  55.569,  -0.000,  32.145,   9.709,  97.108, 128.254,  18.771,   0.000,   2.235,   6.041,   0.200,   8.075,  12.519,  86.890,   5.189
317,   1.646,  33.503,  -0.000,   9.553, 155.499,   2.952,  17.883,  -0.000,  10.481, 145.891,  82.229, 116.978, 171.794,  15.420,  88.034,  71.590,   0.133, 102.238,   6.479,  30.315,   9.196,  23.060,   3.446,   0.334,  10.060,  46.024,   7.995,   5.003,  53.137,  53.137,  53.137,  53.137,  53.137,  53.137,   6.639,  13.876,   8.173,  55.963,  15.754,  52.520, 106.942, 148.812,  95.072,  48.077,   0.000,  14.537,   6.037, 108.523, 155.175,  18.001,  -0.000,   4.930,  10.137,   0.657,  15.353,   5.760,  89.978,   9.468
318,   3.674,  39.721,  -0.000,   3.606, 122.863,   2.869,  14.235,  -0.000,   3.652, 105.453,  73.046, 128.488, 181.043,   6.049,  47.847,  56.491,   0.585, 120.373,   4.478,  16.324,   2.842,  34.918,   0.854,   0.045,   9.110,  32.162,   7.441,   2.826,  37.471,  37.471,  37.471,  37.471,  37.471,  37.471,   5.066,   5.918,   3.659,  40.650,   5.409,  29.164,  62.560, 160.582,  52.993,  39.271,   0.067,   5.603,   4.693, 113.892, 158.675,  17.682,   0.000,   9.937,  13.948,   1.671,  26.883,   3.019, 104.323,  17.116
319,   8.264,  44.080,   0.000,   1.921,  82.609,   4.150,  12.394,   0.000,   1.486,  64.287,  59.708, 128.432, 156.834,   2.047,  21.345,  42.392,   1.956, 128.618,   3.167,   9.842,   0.713,  49.202,   0.133,   0.000,   9.881,  25.576,   6.368,   1.913,  28.731,  28.731,  28.731,  28.731,  28.731,  28.731,   4.530,   2.342,   1.669,  30.763,   1.431,  16.783,  30.226, 146.909,  24.283,  32.141,   0.512,   1.715,   4.581, 111.335, 137.810,  17.925,   0.000,  17.147,  16.288,   3.464,  42.870,   2.352, 115.778,  29.497
320,  16.866,  45.543,  -0.000,   1.891,  48.098,   7.976,  11.885,  -0.000,   1.357,  33.478,  44.816, 114.169, 114.533,   0.813,   7.723,  31.250,   5.438, 124.551,   2.798,   7.035,   0.340,  62.429,   0.022,  -0.000,  13.184,  21.876,   5.037,   1.246,  25.207,  25.207,  25.207,  25.207,  25.207,  25.207,   3.848,   0.878,   0.788,  25.899,   0.245,  10.644,  12.073, 114.296,   9.080,  28.640,   2.063,   0.444,   4.787,  99.482, 102.396,  18.934,   0.000,  25.997,  17.053,   5.972,  61.470,   2.730, 110.924,  47.744
321,  31.021,  44.689,   0.000,   2.039,  24.914,  15.339,  12.511,   0.000,   1.802,  15.082,  30.955,  88.453,  79.674,   0.788,   2.216,  24.158,  12.772, 108.199,   2.982,   5.802,   0.655,  70.489,   0.000,   0.000,  20.159,  18.466,   3.934,   0.655,  24.856,  24.856,  24.856,  24.856,  24.856,  24.856,   3.060,   0.295,   0.568,  24.491,   0.022,   7.093,   3.920,  76.129,   2.689,  28.881,   6.232,   0.090,   5.354,  79.558,  65.806,  20.478,   0.000,  36.095,  17.629,   9.062,  79.158,   3.351,  88.151,  71.546
322,  51.720,  43.530,   0.000,   1.780,  11.824,  27.578,  13.740,   0.000,   2.017,   5.893,  19.950,  59.146,  72.044,   1.246,   0.401,  21.505,  26.105,  83.278,   3.321,   5.126,   1.223,  70.611,  -0.000,   0.022,  31.392,  15.099,   3.604,   0.273,  25.888,  25.888,  25.888,  25.888,  25.888,  25.888,   2.796,   0.111,   0.854,  25.420,   0.000,   4.861,   0.942,  43.914,   0.535,  31.654,  15.215,   0.000,   6.991,  56.194,  37.153,  22.167,   0.000,  48.009,  19.906,  13.158,  92.645,   3.738,  57.264,  98.776
323,  77.970,  43.956,  -0.000,   1.223,   5.288,  45.728,  15.241,  -0.000,   1.780,   1.936,  12.819,  34.246,  96.289,   1.780,   0.045,  23.127,  46.717,  56.433,   3.680,   4.683,   1.780,  63.515,  -0.000,   0.201,  46.241,  12.342,   4.970,   0.089,  26.474,  26.474,  26.474,  26.474,  26.474,  26.474,   3.538,   0.111,   1.652,  28.131,  -0.000,   3.660,   0.156,  22.144,   0.067,  35.871,  30.465,  -0.000,  10.163,  35.082,  18.629,  24.034,  -0.000,  62.347,  25.504,  20.063, 100.134,   3.779,  30.207, 124.411
324, 106.010,  46.573,  -0.000,   0.655,   2.259,  69.711,  17.804,  -0.000,   1.223,   0.540,   9.771,  17.454, 139.077,   2.017,   0.000,  29.286,  73.882,  33.787,   4.006,   4.379,   2.017,  53.585,   0.022,   0.985,  63.595,  10.819,   9.239,   0.045,  25.791,  25.791,  25.791,  25.791,  25.791,  25.791,   5.092,   0.295,   2.885,  32.060,   0.000,   3.530,   0.022,   9.806,   0.000,  41.189,  50.810,   0.000,  14.455,  19.582,   8.325,  27.290,   0.000,  78.532,  35.427,  31.641, 101.231,   3.908,  12.872, 141.061
325, 128.903,  50.927,  -0.000,   0.273,   0.899,  96.936,  23.364,  -0.000,   0.655,   0.133,  10.542,   8.026, 175.114,   1.780,   0.000,  39.904, 103.507,  18.280,   4.239,   4.072,   1.780,  46.353,   0.089,   3.307,  81.749,  10.166,  17.403,   0.156,  23.967,  23.967,  23.967,  23.967,  23.967,  23.967,   6.837,   0.811,   4.463,  35.909,  -0.000,   4.032,   0.000,   3.735,   0.000,  46.993,  72.122,   0.000,  19.246,   9.866,   3.239,  33.370,   0.045,  94.147,  50.163,  48.579,  96.388,   4.706,   4.398, 142.755
326, 138.861,  56.566,  -0.000,   0.111,   0.318, 121.304,  33.487,  -0.000,   0.295,   0.022,  14.209,   3.307, 181.341,   1.246,   0.000,  54.921, 128.607,   9.066,   4.523,   3.703,   1.246,  44.990,   0.363,   9.085,  97.420,   9.562,  29.262,   0.696,  21.419,  21.419,  21.419,  21.419,  21.419,  21.419,   8.332,   1.762,   6.181,  37.769,  -0.000,   4.418,  -0.000,   1.175,   0.000,  51.856,  89.358,   0.022,  24.725,   4.432,   1.064,  42.674,   0.177, 105.742,  69.090,  70.068,  86.474,   6.349,   1.158, 129.346
327, 131.408,  63.315,   0.000,   0.133,   0.089, 134.796,  47.921,   0.000,   0.200,   0.000,  19.360,   1.218, 153.576,   0.766,   0.000,  73.129, 141.459,   4.170,   5.392,   3.276,   0.743,  48.670,   1.256,  20.638, 105.587,   8.761,  43.544,   2.318,  18.349,  18.349,  18.349,  18.349,  18.349,  18.349,  10.049,   3.276,   7.807,  36.300,   0.022,   4.237,   0.000,   0.311,   0.000,  54.175,  99.109,   0.089,  31.875,   1.698,   0.288,  53.876,   0.636, 110.050,  89.038,  93.817,  73.136,   8.348,   0.356, 108.139
328, 108.689,  70.534,  -0.000,   0.496,   0.022, 131.639,  65.177,  -0.000,   0.518,   0.000,  24.553,   0.406, 108.344,   0.635,   0.000,  91.215, 137.199,   1.800,   7.745,   2.783,   0.591,  54.285,   3.469,  39.416, 102.262,   8.028,  58.838,   6.321,  15.001,  15.001,  15.001,  15.001,  15.001,  15.001,  13.461,   5.293,   9.089,  31.630,   0.089,   3.670,   0.000,   0.067,   0.000,  53.049, 100.187,   0.318,  40.585,   0.539,   0.067,  64.665,   1.978, 105.163, 104.062, 115.690,  58.731,  10.103,   0.903,  90.612
329,  78.583,  75.715,  -0.000,   1.684,  -0.000, 112.244,  83.081,  -0.000,   1.639,  -0.000,  29.071,   0.222,  70.335,   1.173,   0.000, 104.326, 116.766,   0.886,  12.582,   2.186,   0.943,  59.000,   8.469,  64.696,  88.135,   7.455,  73.439,  14.473,  11.873,  11.873,  11.873,  11.873,  11.873,  11.873,  19.956,   7.525,  10.040,  25.269,   0.318,   3.090,  -0.000,   0.000,   0.000,  48.693,  92.892,   0.877,  48.592,   0.156,   0.000,  72.404,   5.115,  91.559, 108.359, 129.175,  45.280,  12.173,   3.027,  86.094
330,  50.082,  75.397,  -0.000,   4.581,  -0.000,  83.489,  98.728,  -0.000,   4.382,  -0.000,  32.687,   0.384,  57.603,   2.633,   0.000, 108.084,  86.875,   0.921,  20.680,   1.696,   1.925,  60.927,  18.028,  92.670,  68.820,   6.648,  84.974,  28.360,   9.615,   9.615,   9.615,   9.615,   9.615,   9.615,  29.778,   9.435,  11.604,  18.963,   0.854,   2.563,   0.000,   0.000,  -0.000,  41.999,  79.108,   1.969,  52.675,   0.022,   0.000,  75.014,  11.599,  72.181, 100.340, 128.125,  33.858,  16.183,   8.220,  96.781
331,  28.692,  67.725,  -0.000,  10.684,  -0.000,  54.651, 107.986,  -0.000,  10.072,  -0.000,  35.009,   1.017,  75.392,   5.581,  -0.000, 101.662,  56.496,   1.564,  32.096,   1.850,   3.697,  59.107,  33.494, 117.095,  50.654,   5.367,  90.490,  48.362,   8.236,   8.236,   8.236,   8.236,   8.236,   8.236,  41.549,  10.582,  15.241,  14.019,   1.970,   1.980,  -0.000,  -0.000,   0.000,  34.116,  62.481,   3.948,  51.637,   0.000,   0.000,  72.114,  23.521,  51.426,  83.626, 111.741,  24.715,  23.414,  18.879, 117.083
332,  15.121,  54.295,   0.000,  21.490,  -0.000,  32.253, 106.916,   0.000,  19.974,   0.000,  35.493,   2.277, 115.218,  11.057,   0.000,  88.385,  32.337,   2.523,  45.469,   3.179,   6.397,  53.235,  54.443, 131.051,  36.431,   4.164,  88.846,  72.599,   7.150,   7.150,   7.150,   7.150,   7.150,   7.150,  53.549,  11.390,  21.985,  10.800,   4.052,   1.402,   0.000,  -0.000,   0.000,  26.235,  47.216,   7.089,  47.251,   0.000,  -0.000,  65.439,  42.169,  33.269,  64.056,  85.793,  17.494,  33.521,  36.873, 136.187
333,   7.563,  39.162,  -0.000,  37.590,  -0.000,  17.796,  94.816,  -0.000,  34.695,   0.000,  33.949,   4.541, 157.510,  20.384,   0.000,  73.139,  16.519,   3.513,  57.949,   6.525,  10.428,  44.181,  77.908, 130.143,  25.631,   3.994,  81.976,  96.645,   6.089,   6.089,   6.089,   6.089,   6.089,   6.089,  64.807,  13.527,  31.482,   8.857,   7.839,   1.127,   0.000,  -0.000,   0.000,  19.321,  36.112,  12.150,  42.544,   0.000,   0.000,  57.393,  65.916,  19.786,  46.086,  58.559,  11.857,  44.956,  61.185, 143.105
334,   3.888,  26.561,   0.000,  58.030,  -0.000,   9.806,  75.604,   0.000,  53.673,   0.000,  31.163,   8.317, 178.964,  34.979,   0.000,  59.003,   7.671,   4.259,  66.745,  12.974,  16.633,  33.577,  99.672, 115.345,  17.285,   5.752,  73.375, 114.753,   5.581,   5.581,   5.581,   5.581,   5.581,   5.581,  74.596,  19.181,  42.429,   7.591,  14.637,   1.764,   0.000,  -0.000,   0.000,  13.986,  29.376,  20.253,  39.374,   0.000,   0.000,  49.185,  89.515,  11.045,  31.685,  35.939,   7.676,  56.504,  85.988, 132.396
335,   2.462,  18.630,   0.000,  80.400,  -0.000,   5.867,  55.385,   0.000,  75.317,   0.000,  28.829,  14.651, 167.100,  55.241,   0.022,  46.728,   3.218,   4.730,  71.548,  24.118,  26.173,  23.174, 115.364,  92.570,  11.431,  10.466,  64.986, 122.353,   6.678,   6.678,   6.678,   6.678,   6.678,   6.678,  81.740,  29.404,  54.087,   7.016,  26.619,   4.051,   0.022,  -0.000,   0.000,  10.527,  25.248,  32.878,  38.083,   0.000,   0.000,  40.914, 106.509,   5.933,  21.346,  19.973,   4.750,  67.732, 102.178, 106.382
336,   2.209,  15.518,   0.000, 101.543,  -0.000,   4.228,  38.747,   0.000,  96.920,   0.000,  28.780,  25.198, 129.046,  79.607,   0.133,  36.205,   1.218,   5.317,  74.971,  41.256,  40.112,  14.399, 121.923,  68.651,   8.502,  19.747,  56.421, 118.422,  10.834,  10.834,  10.834,  10.834,  10.834,  10.834,  84.905,  43.746,  66.909,   7.983,  45.420,   9.338,   0.133,  -0.000,   0.067,   8.963,  21.644,  50.828,  38.672,  -0.000,   0.000,  32.845, 113.832,   3.340,  14.605,   9.916,   2.798,  78.152, 102.646,  73.612
